service_id,date,exception_type
20190106_M-WT---_40,20190417,1
20190106_MTWTF--_27,20190417,1
20190208_MTWTF--_44,20190417,1
20190208_MTWTF--_56,20190417,1
20190208_MTWTF--_69,20190417,1
20180819_------S_14,20190418,1
20180909_------S_5,20190418,1
20180909_------S_6,20190418,1
20190106_------S_38,20190418,1
20190208_------S_68,20190418,1
20190208_------S_70,20190418,1
20180819_------S_14,20190419,1
20180909_------S_5,20190419,1
20180909_------S_6,20190419,1
20190106_------S_38,20190419,1
20190208_------S_68,20190419,1
20190208_------S_70,20190419,1
20180819_-----S-_16,20190420,1
20180819_-----S-_60,20190420,1
20180909_-----S-_39,20190420,1
20180909_-----S-_47,20190420,1
20190106_-----S-_28,20190420,1
20190208_-----S-_23,20190420,1
20190208_-----S-_24,20190420,1
20190208_-----S-_9,20190420,1
20180819_------S_14,20190421,1
20180909_------S_5,20190421,1
20180909_------S_6,20190421,1
20190106_------S_38,20190421,1
20190208_------S_68,20190421,1
20190208_------S_70,20190421,1
20180819_------S_14,20190422,1
20180909_------S_5,20190422,1
20180909_------S_6,20190422,1
20190106_------S_38,20190422,1
20190208_------S_68,20190422,1
20190208_------S_70,20190422,1
20180819_MTWTF--_15,20190423,1
20180909_MT--F--_61,20190423,1
20180909_MT-T---_73,20190423,1
20180909_MTW-F--_7,20190423,1
20180909_MTWTF--_17,20190423,1
20180909_MTWTF--_30,20190423,1
20190106_-T--F--_29,20190423,1
20190106_-T-T---_41,20190423,1
20190106_MTWTF--_27,20190423,1
20190208_MTWTF--_44,20190423,1
20190208_MTWTF--_56,20190423,1
20190208_MTWTF--_69,20190423,1
20180819_MTWTF--_15,20190424,1
20180909_--W----_63,20190424,1
20180909_--W-F--_31,20190424,1
20180909_M-W-F--_18,20190424,1
20180909_MTW-F--_7,20190424,1
20180909_MTWTF--_17,20190424,1
20180909_MTWTF--_30,20190424,1
20190106_M-WT---_40,20190424,1
20190106_MTWTF--_27,20190424,1
20190208_MTWTF--_44,20190424,1
20190208_MTWTF--_56,20190424,1
20190208_MTWTF--_69,20190424,1
20180819_------S_14,20190425,1
20180909_------S_5,20190425,1
20180909_------S_6,20190425,1
20190106_------S_38,20190425,1
20190208_------S_68,20190425,1
20190208_------S_70,20190425,1
20180819_----F--_53,20190426,1
20180819_MTWTF--_15,20190426,1
20180909_----F--_62,20190426,1
20180909_--W-F--_31,20190426,1
20180909_M-W-F--_18,20190426,1
20180909_MT--F--_61,20190426,1
20180909_MTW-F--_7,20190426,1
20180909_MTWTF--_17,20190426,1
20180909_MTWTF--_30,20190426,1
20190106_----F--_37,20190426,1
20190106_-T--F--_29,20190426,1
20190106_MTWTF--_27,20190426,1
20190208_----F--_48,20190426,1
20190208_----F--_65,20190426,1
20190208_MTWTF--_44,20190426,1
20190208_MTWTF--_56,20190426,1
20190208_MTWTF--_69,20190426,1
20180819_-----S-_16,20190427,1
20180819_-----S-_60,20190427,1
20180909_-----S-_39,20190427,1
20180909_-----S-_47,20190427,1
20190106_-----S-_28,20190427,1
20190208_-----S-_23,20190427,1
20190208_-----S-_24,20190427,1
20190208_-----S-_9,20190427,1
20180819_------S_14,20190428,1
20180909_------S_5,20190428,1
20180909_------S_6,20190428,1
20190106_------S_38,20190428,1
20190208_------S_68,20190428,1
20190208_------S_70,20190428,1
20180819_MTWTF--_15,20190429,1
20180909_M-W-F--_18,20190429,1
20180909_MT--F--_61,20190429,1
20180909_MT-T---_73,20190429,1
20180909_MTW-F--_7,20190429,1
20180909_MTWTF--_17,20190429,1
20180909_MTWTF--_30,20190429,1
20190106_M-WT---_40,20190429,1
20190106_MTWTF--_27,20190429,1
20190208_MTWTF--_44,20190429,1
20190208_MTWTF--_56,20190429,1
20190208_MTWTF--_69,20190429,1
20180819_MTWTF--_15,20190430,1
20180909_MT--F--_61,20190430,1
20180909_MT-T---_73,20190430,1
20180909_MTW-F--_7,20190430,1
20180909_MTWTF--_17,20190430,1
20180909_MTWTF--_30,20190430,1
20190106_-T--F--_29,20190430,1
20190106_-T-T---_41,20190430,1
20190106_MTWTF--_27,20190430,1
20190208_MTWTF--_44,20190430,1
20190208_MTWTF--_56,20190430,1
20190208_MTWTF--_69,20190430,1
20180819_------S_14,20190501,1
20180909_------S_5,20190501,1
20180909_------S_6,20190501,1
20190106_------S_38,20190501,1
20190208_------S_68,20190501,1
20190208_------S_70,20190501,1
20180819_MTWTF--_15,20190502,1
20180909_---T---_8,20190502,1
20180909_MT-T---_73,20190502,1
20180909_MTWTF--_17,20190502,1
20180909_MTWTF--_30,20190502,1
20190106_-T-T---_41,20190502,1
20190106_M-WT---_40,20190502,1
20190106_MTWTF--_27,20190502,1
20190208_MTWTF--_44,20190502,1
